Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen
2,3,14363.350230417313,8861.525190903987,5114.36576097203,0.0,2261.97950353464,922.2386740295916
2,1,5582.260303363375,10164.588279590724,9350.35080621547,2070.068155740398,4142.372971563052,2053.675834634364
1,1,7902.538722011406,9044.754813830534,7191.036781235907,1951.4753991523075,3645.4763125013533,7820.189999688784
1,3,13886.851683023686,1287.2568646089771,4338.747744059016,5617.87582379133,1403.506290097292,2047.1368660968715
2,1,24754.228128729457,5258.892118421232,7238.363341157156,4143.638341006941,1735.0438901896018,5638.648174065047
1,2,7529.402847421142,7838.126148266544,5112.181093329656,1237.084404910791,1385.474307682806,1840.6429075024037
2,1,11178.403745153388,2156.094837389456,6834.076179123727,0.0,2473.1997060033846,98.17152888191441
2,2,8175.487630418847,6028.618881316528,9598.177075497837,1990.3934264246313,3556.189301751429,2418.433865389179
2,3,4479.958726027973,4873.433548727467,6145.439726133138,399.32655990188005,1894.967408264879,1031.3252239348656
1,2,4105.270002280179,10729.127642996085,19199.614347339513,1409.5942102559738,7625.1665836448365,2147.5675592927587
1,2,2060.7263633794673,5238.176149093546,14056.48909434548,3758.1160671185366,4673.909949067302,2181.9383949635308
1,1,15024.352430164614,1014.8603617477617,3336.7132264372385,2535.7273246521395,772.5399245308703,840.472747869929
2,3,31966.114804131586,12685.780417655045,11811.816364251741,398.6448545138544,4039.4750865347373,2858.187923601496
2,3,22994.404223232363,6757.005410963249,13617.963574908656,2756.282771229252,6720.228616011583,494.19505644950993
1,3,24601.384691482865,9701.28174078023,12208.008991384753,57.21655790496979,4503.501043766352,2731.0415839524753
1,3,8382.824237000688,1281.6360008562801,4588.270722149856,649.7192039478506,1532.910248258864,5.339188977719857
2,2,107.70023513838646,8269.110132817525,13261.12262232689,53.92954029537219,4152.971553272149,1140.8704956286617
1,1,8984.169294452851,7030.675144015802,2857.5924827678155,1128.7029704383945,797.7805501259093,4862.195668125543
1,3,17701.634214755177,6569.006316014248,8710.085340309086,1564.5642338290995,2423.4511540853214,3125.6103247144347
1,2,6641.917752328505,2135.547518635193,8150.752543517125,898.2221596188883,1514.5622361781084,391.5538325060989
1,3,16127.11379587224,3406.5414941302524,4794.266433329488,490.92171616759583,2342.9876873317608,2126.3697883749232
1,1,5413.820815402451,0.0,1721.1715697740274,3265.242077151787,196.0806680996129,718.0375061464689
2,1,32822.222574940315,2224.329925227161,4831.0923728788575,9507.993608581804,1856.7238947931855,4055.120788939603
1,2,26459.156706228612,36143.33019775102,23038.614884144907,5255.384704325763,4591.213072883781,16270.004709818742
2,2,20954.666737904223,10821.88328821737,13944.489893417242,2590.820344910595,4711.692130175073,5739.311431898253
2,2,16317.925048432262,4493.673447826903,8801.033367951044,197.62315553742945,4737.729088159635,238.45898420079627
1,3,8801.26477453928,1018.1086937860997,2178.8168371894694,2963.2695419599613,0.0,1063.408058190742
1,3,16498.68927978635,0.0,3479.0809431746056,435.3932807275091,0.0,548.5353504202444
2,2,4170.181248937729,20314.373099759698,27610.630685142736,1817.359359668489,9158.921250702391,5761.647840102322
1,1,42581.66501818662,1737.2586661570363,2269.9130074176032,849.4042844720797,1865.2979929527403,928.5858086733944
2,3,19576.809753630125,4165.4447118679645,11542.44603925965,1039.22704536082,2083.2424073588627,3055.8618673287724
2,1,3056.855726861575,4632.012818319951,3615.0040152093247,1517.8692882745227,273.33908752340744,696.8719117403269
2,3,21867.809296488897,1927.7421742639908,3780.7947243917283,0.0,1001.6901575277473,625.1686268015194
2,2,29936.502732692767,4969.690058190957,7520.806395351097,5833.369836733518,1030.66243328768,1039.995427162051
1,1,1886.57854797453,1298.2185470203149,2953.0341528017893,58.32236581540343,597.166951119427,880.1471825698972
2,1,2701.249030003043,5664.642899210989,9077.366804593503,1191.037201028887,3517.5841756671457,56.78686199098388
1,3,29301.252790513357,4450.458062634569,6074.611116270607,961.2929338972114,402.8548532034012,4309.256936826832
1,3,16776.77788702005,9105.753097769933,14055.720884339415,2159.7610863072036,6554.178687032144,1039.6540472000852
2,3,2486.286845045769,16837.58699877023,15886.636823935782,213.92818126968606,7398.814575058931,598.3439184461054
